key,value,date
Diagnose,71,2019-07-09
Diagnose,11,2019-07-09
Diagnose,14,2019-07-15
Diagnose,240,2019-07-16
Diagnose,9,2019-07-17
Diagnose,126,2019-07-18
Diagnose,68,2019-07-19
Diagnose,20,2019-07-24
Diagnose,58,2019-07-24
Diagnose,1788,2019-07-25
Diagnose,3,2019-07-29
Diagnose,27,2019-07-29
Diagnose,117,2019-08-01
Diagnose,1064,2019-08-01
Diagnose,0,2019-08-05
Diagnose,6,2019-08-07
Diagnose,18,2019-08-08
Diagnose,466,2019-08-09
Diagnose,47,2019-08-12
Diagnose,5,2019-08-15
Diagnose,5,2019-08-16
Diagnose,70,2019-08-19
Diagnose,434,2019-08-22
Diagnose,137,2019-08-22
Diagnose,4,2019-08-29
Diagnose,128,2019-09-06
Diagnose,4,2019-09-06
Diagnose,145,2019-09-06
Diagnose,58,2019-09-09
Diagnose,5,2019-09-11
Diagnose,0,2019-09-11
Diagnose,4,2019-09-11
Diagnose,45,2019-09-11
Diagnose,1,2019-09-13
Diagnose,0,2019-09-16
Diagnose,2,2019-09-24
Diagnose,47,2019-09-24
Diagnose,520,2019-09-25
Diagnose,3,2019-09-25
Diagnose,12,2019-09-25
Diagnose,18,2019-09-26
Diagnose,0,2019-09-26
Diagnose,34,2019-09-26
Diagnose,2,2019-09-27
Diagnose,102,2019-09-30
Diagnose,184,2019-10-04
Diagnose,6,2019-10-08
Diagnose,10,2019-10-16
Diagnose,116,2019-10-18
Diagnose,41,2019-10-30
Diagnose,0,2019-11-05
Diagnose,335,2019-11-05
Diagnose,45,2019-11-07
Diagnose,0,2019-11-07
Diagnose,0,2019-11-07
Diagnose,21,2019-11-12
Diagnose,4,2019-11-20
Diagnose,172,2019-11-20
Diagnose,0,2019-11-22
Diagnose,10,2019-12-04
Diagnose,22,2019-12-05
Diagnose,11518,2019-12-11
Diagnose,1070,2020-01-03
Diagnose,24,2020-01-06
Diagnose,112,2020-01-06
Diagnose,25,2020-01-06
Diagnose,10,2020-01-17
Diagnose,8,2020-01-24
Diagnose,7,2020-01-28
Diagnose,122,2020-02-06
Diagnose,13,2020-02-07
Diagnose,91,2020-02-12
Diagnose,0,2020-02-17
