key,value,date
Recovery,70,2019-07-09
Recovery,140,2019-07-09
Recovery,0,2019-07-15
Recovery,237,2019-07-16
Recovery,0,2019-07-17
Recovery,14,2019-07-18
Recovery,69,2019-07-19
Recovery,290,2019-07-24
Recovery,5,2019-07-24
Recovery,30,2019-07-25
Recovery,8,2019-07-29
Recovery,6,2019-07-29
Recovery,329,2019-08-01
Recovery,0,2019-08-01
Recovery,0,2019-08-05
Recovery,17,2019-08-07
Recovery,13,2019-08-08
Recovery,0,2019-08-09
Recovery,86,2019-08-12
Recovery,22,2019-08-15
Recovery,0,2019-08-16
Recovery,0,2019-08-19
Recovery,0,2019-08-22
Recovery,0,2019-08-22
Recovery,0,2019-08-29
Recovery,0,2019-09-06
Recovery,0,2019-09-06
Recovery,7,2019-09-06
Recovery,0,2019-09-09
Recovery,6,2019-09-11
Recovery,520,2019-09-11
Recovery,0,2019-09-11
Recovery,0,2019-09-11
Recovery,8,2019-09-13
Recovery,16,2019-09-16
Recovery,1,2019-09-24
Recovery,74,2019-09-24
Recovery,66,2019-09-25
Recovery,49,2019-09-25
Recovery,2,2019-09-25
Recovery,17,2019-09-26
Recovery,1341,2019-09-26
Recovery,0,2019-09-26
Recovery,13,2019-09-27
Recovery,8,2019-09-30
Recovery,0,2019-10-04
Recovery,142,2019-10-08
Recovery,20,2019-10-16
Recovery,2688,2019-10-18
Recovery,42,2019-10-30
Recovery,0,2019-11-05
Recovery,210,2019-11-05
Recovery,110,2019-11-07
Recovery,0,2019-11-07
Recovery,0,2019-11-07
Recovery,15,2019-11-12
Recovery,14,2019-11-20
Recovery,2,2019-11-20
Recovery,0,2019-11-22
Recovery,0,2019-12-04
Recovery,10,2019-12-05
Recovery,2186,2019-12-11
Recovery,0,2020-01-03
Recovery,45,2020-01-06
Recovery,0,2020-01-06
Recovery,0,2020-01-06
Recovery,1,2020-01-17
Recovery,199,2020-01-24
Recovery,48,2020-01-28
Recovery,4,2020-02-06
Recovery,241,2020-02-07
Recovery,6,2020-02-12
Recovery,0,2020-02-17
