key,value,date
Escalation,36,2019-07-09
Escalation,0,2019-07-09
Escalation,0,2019-07-15
Escalation,10,2019-07-16
Escalation,8,2019-07-17
Escalation,1,2019-07-18
Escalation,14,2019-07-19
Escalation,10,2019-07-24
Escalation,53,2019-07-24
Escalation,15,2019-07-25
Escalation,1,2019-07-29
Escalation,0,2019-07-29
Escalation,107,2019-08-01
Escalation,1054,2019-08-01
Escalation,0,2019-08-05
Escalation,1,2019-08-07
Escalation,5,2019-08-08
Escalation,0,2019-08-09
Escalation,47,2019-08-12
Escalation,0,2019-08-15
Escalation,0,2019-08-16
Escalation,30,2019-08-19
Escalation,0,2019-08-22
Escalation,1,2019-08-22
Escalation,0,2019-08-29
Escalation,10,2019-09-06
Escalation,0,2019-09-06
Escalation,0,2019-09-06
Escalation,16,2019-09-09
Escalation,0,2019-09-11
Escalation,0,2019-09-11
Escalation,4,2019-09-11
Escalation,35,2019-09-11
Escalation,1,2019-09-13
Escalation,0,2019-09-16
Escalation,1,2019-09-24
Escalation,45,2019-09-24
Escalation,0,2019-09-25
Escalation,0,2019-09-25
Escalation,12,2019-09-25
Escalation,1,2019-09-26
Escalation,0,2019-09-26
Escalation,0,2019-09-26
Escalation,2,2019-09-27
Escalation,0,2019-09-30
Escalation,155,2019-10-04
Escalation,0,2019-10-08
Escalation,10,2019-10-16
Escalation,1,2019-10-18
Escalation,1,2019-10-30
Escalation,0,2019-11-05
Escalation,35,2019-11-05
Escalation,6,2019-11-07
Escalation,0,2019-11-07
Escalation,0,2019-11-07
Escalation,2,2019-11-12
Escalation,0,2019-11-20
Escalation,79,2019-11-20
Escalation,0,2019-11-22
Escalation,0,2019-12-04
Escalation,3,2019-12-05
Escalation,8386,2019-12-11
Escalation,980,2020-01-03
Escalation,0,2020-01-06
Escalation,42,2020-01-06
Escalation,4,2020-01-06
Escalation,0,2020-01-17
Escalation,2,2020-01-24
Escalation,6,2020-01-28
Escalation,39,2020-02-06
Escalation,11,2020-02-07
Escalation,0,2020-02-12
Escalation,0,2020-02-17
