Label,TP,FP,FN,TN,accuracy,   precision,    recall,  f1-score,   support,class weight,L threshold f1,L Residual distance,L CW* RD,N threshold f1,N Residual distance,N CW* RD
C1,3,1,1,1,0.67,0.75,0.75,0.75,6,1,0.7,0.05,0.05,0.7,0.05,0.05
C2,3,1,1,1,0.67,0.75,0.75,0.75,6,1,0.7,0.05,0.05,0.7,0.05,0.05
C3,1,3,1,1,0.33,0.25,0.50,0.33,6,1,0.7,-0.37,-0.37,0.7,-0.37,-0.37
C4,1,1,3,1,0.33,0.50,0.25,0.33,6,1,0.7,-0.37,-0.37,0.7,-0.37,-0.37
C5,1,1,1,3,0.67,0.50,0.50,0.50,6,1,0.7,-0.20,-0.20,0.7,-0.20,-0.20
C6,0,1,1,4,0.67,0.00,0.00,0.00,6,1,0.7,-0.70,-0.70,0.7,-0.70,-0.70
C7,1,1,4,0,0.17,0.50,0.20,0.29,6,1,0.7,-0.41,-0.41,0.7,-0.41,-0.41
C8,1,2,1,2,0.50,0.33,0.50,0.40,6,1,0.7,-0.30,-0.30,0.7,-0.30,-0.30
C9,2,1,2,1,0.50,0.67,0.50,0.57,6,1,0.7,-0.13,-0.13,0.7,-0.13,-0.13
C10,4,1,1,0,0.67,0.80,0.80,0.80,6,1,0.7,0.10,0.10,0.7,0.10,0.10
C11,2,1,1,2,0.67,0.67,0.67,0.67,6,1,0.7,-0.03,-0.03,0.7,-0.03,-0.03
C12,1,2,1,2,0.50,0.33,0.50,0.40,6,1,0.7,-0.30,-0.30,0.7,-0.30,-0.30
C13,2,1,2,1,0.50,0.67,0.50,0.57,6,1,0.7,-0.13,-0.13,0.7,-0.13,-0.13
C14,3,0,3,0,0.50,1.00,0.50,0.67,6,1,0.7,-0.03,-0.03,0.7,-0.03,-0.03
